Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT,",2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"GANGA AT MALSALAMI, PATNA",2017,BIHAR,10,BIHAR,1
"CHUNT KOL * (MAULANA AZAD BRIDGE), J&K",2013,JAMMU & KASHMIR,1,JAMMU AND KASHMIR,1
"DEEPAR BILL, ASSAM*",2013,ASSAM,18,ASSAM,1
FARMAR AT JOGBANI,2013,BIHAR,10,BIHAR,1
DS OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,2018,WEST BENGAL,19,WEST BENGAL,1
GANGA A/C OFSONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,2016,UTTARAKHAND,5,UTTARAKHAND,1
RIVER SABARMATI AT HANSOL BRIDGE,2013,GUJARAT,24,GUJARAT,1
KAMALA AT BENIPATTI (MADHUBANI),2016,BIHAR,10,BIHAR,1
MAHANADI U/S CUTTACK,2016,ODISHA,21,ODISHA,1
"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",2017,MAHARASHTRA,27,MAHARASHTRA,1
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",2018,MEGHALAYA,17,MEGHALAYA,1
"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM, TAMILNADU",2014,TAMILNADU,33,TAMIL NADU,1
