ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5237,India,8,Rajasthan,Sheoganj,2021,32.5,4.93,2.07,322,663,372,2021,"Calendar Year (Jan - Dec), 2021"
5238,India,10,Bihar,Sheohar,2021,227.53,68.3,37.22,4553,3629,1513,2021,"Calendar Year (Jan - Dec), 2021"
5239,India,23,Madhya Pradesh,Sheopur,2021,147.11,52.12,9.93,3498,2684,607,2021,"Calendar Year (Jan - Dec), 2021"
5240,India,9,Uttar Pradesh,Shergarh,2021,58.42,23.14,5.33,1540,948,516,2021,"Calendar Year (Jan - Dec), 2021"
5241,India,10,Bihar,Sherghati,2021,93.35,28.36,3.42,1884,240,10,2021,"Calendar Year (Jan - Dec), 2021"
5242,India,9,Uttar Pradesh,Sherkot,2021,59.78,25.59,11.17,1706,1333,264,2021,"Calendar Year (Jan - Dec), 2021"
5243,India,28,Andhra Pradesh,Shermahammadpuram,2021,0.95,0.12,0.12,6,6,6,2021,"Calendar Year (Jan - Dec), 2021"
5244,India,27,Maharashtra,Shevgaon,2021,77.86,16.07,0.81,1060,114,43,2021,"Calendar Year (Jan - Dec), 2021"
5245,India,29,Karnataka,Shiggaon,2021,31.61,10.06,3.86,670,462,238,2021,"Calendar Year (Jan - Dec), 2021"
5246,India,29,Karnataka,Shikarpur,2021,23.02,7.89,2.91,525,484,253,2021,"Calendar Year (Jan - Dec), 2021"
5247,India,9,Uttar Pradesh,Shikarpur,2021,131.0,52.26,21.83,3485,2819,1510,2021,"Calendar Year (Jan - Dec), 2021"
5248,India,9,Uttar Pradesh,Shikohabad,2021,115.05,50.07,19.39,3340,1853,510,2021,"Calendar Year (Jan - Dec), 2021"
